Rank,Team,GM,W-L,OPP PTS,OPP PPG
247,Fairleigh Dickinson (Northeast),30,11-19,2250,75
247,Maine (America East),32,7-25,2400,75
249,UCLA (Pac-12),31,28-3,2326,75
250,Rice (Conference USA),32,22-10,2403,75.1
251,Wofford (Southern),33,16-17,2479,75.1
252,UNLV (Mountain West),32,11-21,2405,75.2
253,Eastern Ky. (OVC),31,12-19,2330,75.2
254,UT Martin (OVC),33,21-12,2482,75.2
255,North Texas (Conference USA),30,8-22,2258,75.3
256,Wyoming (Mountain West),32,18-14,2416,75.5
257,Ball St. (Mid-American),31,20-11,2342,75.5
257,Western Mich. (Mid-American),31,16-15,2342,75.5
259,Charleston So. (Big South),31,12-19,2343,75.6
260,Rider (Metro Atlantic),33,18-15,2500,75.8
261,Eastern Wash. (Big Sky),31,21-10,2351,75.8
262,Toledo (Mid-American),32,17-15,2427,75.8
263,Appalachian St. (Sun Belt),30,9-21,2279,76
264,Louisiana (Sun Belt),32,21-11,2432,76
265,N.C. A&T (Mid-Eastern),32,3-29,2434,76.1
266,SIUE (OVC),30,6-24,2282,76.1
266,Lafayette (Patriot),30,9-21,2282,76.1
268,Northern Ariz. (Big Sky),32,9-23,2436,76.1
268,Sacred Heart (Northeast),32,13-19,2436,76.1
270,Ole Miss (Southeastern),31,19-12,2363,76.2
271,Samford (Southern),34,19-15,2593,76.3
272,Iona (Metro Atlantic),34,22-12,2596,76.4
273,UMES (Mid-Eastern),32,13-19,2444,76.4
274,La Salle (Atlantic 10),29,15-14,2215,76.4
275,Ill.-Chicago (Horizon),33,15-18,2525,76.5
276,USC Upstate (ASUN),32,17-15,2449,76.5
277,Washington St. (Pac-12),31,13-18,2376,76.6
278,Bowling Green (Mid-American),32,13-19,2453,76.7
279,Hofstra (Colonial),32,15-17,2454,76.7
280,Kennesaw St. (ASUN),32,14-18,2456,76.8
281,Western Ill. (Summit League),28,8-20,2151,76.8
282,Green Bay (Horizon),31,18-13,2387,77
283,Hartford (America East),32,9-23,2465,77
284,Morehead St. (OVC),30,14-16,2311,77
285,Murray St. (OVC),33,16-17,2543,77.1
286,Iowa (Big Ten),31,18-13,2390,77.1
286,Drake (Missouri Valley),31,7-24,2390,77.1
288,Houston Baptist (Southland),29,17-12,2237,77.1
289,UMBC (America East),30,18-12,2315,77.2
290,Cornell (Ivy League),29,8-21,2238,77.2
291,South Dakota St. (Summit League),34,18-16,2631,77.4
292,Bryant (Northeast),32,12-20,2478,77.4
293,Oklahoma St. (Big 12),31,20-11,2405,77.6
294,Lipscomb (ASUN),33,20-13,2562,77.6
295,Manhattan (Metro Atlantic),32,10-22,2485,77.7
296,Canisius (Metro Atlantic),33,18-15,2564,77.7
297,Alabama A&M (Southwestern),29,2-27,2255,77.8
298,William & Mary (Colonial),31,17-14,2411,77.8
299,St. John's (NY) (Big East),32,14-18,2490,77.8
299,Bethune-Cookman (Mid-Eastern),32,10-22,2490,77.8
301,Wake Forest (Atlantic Coast),32,19-13,2493,77.9
302,Brown (Ivy League),30,13-17,2338,77.9
303,Niagara (Metro Atlantic),33,10-23,2579,78.2
304,VMI (Southern),30,6-24,2346,78.2
305,Boston College (Atlantic Coast),32,9-23,2508,78.4
305,Drexel (Colonial),32,9-23,2508,78.4
307,North Florida (ASUN),34,15-19,2674,78.6
308,IUPUI (Summit League),32,14-18,2517,78.7
309,Coppin St. (Mid-Eastern),33,8-25,2600,78.8
310,UMKC (Western Athletic),31,16-15,2443,78.8
311,Florida A&M (Mid-Eastern),30,7-23,2365,78.8
312,Fort Wayne (Summit League),31,19-12,2444,78.8
312,Chicago St. (Western Athletic),31,6-25,2444,78.8
314,Tulane (AAC),30,6-24,2368,78.9
315,McNeese (Southland),29,7-22,2292,79
316,Marist (Metro Atlantic),32,8-24,2530,79.1
317,Montana St. (Big Sky),32,16-16,2532,79.1
318,Northwestern St. (Southland),29,13-16,2301,79.3
319,Long Beach St. (Big West),32,14-18,2542,79.4
320,Nicholls St. (Southland),31,14-17,2464,79.5
321,Auburn (Southeastern),32,18-14,2546,79.6
322,North Carolina St. (Atlantic Coast),32,15-17,2547,79.6
323,Oral Roberts (Summit League),30,8-22,2398,79.9
324,Idaho St. (Big Sky),31,5-26,2486,80.2
324,South Carolina St. (Mid-Eastern),31,11-20,2486,80.2
326,Charlotte (Conference USA),30,13-17,2407,80.2
327,Longwood (Big South),30,6-24,2408,80.3
328,Pepperdine (West Coast),31,9-22,2490,80.3
329,Washington (Pac-12),30,9-21,2435,81.2
330,Portland St. (Big Sky),30,15-15,2440,81.3
331,CSUN (Big West),29,11-18,2359,81.3
332,Arizona St. (Pac-12),32,15-17,2615,81.7
333,Youngstown St. (Horizon),34,13-21,2799,82.3
334,Stetson (ASUN),32,11-21,2654,82.9
335,LSU (Southeastern),31,10-21,2572,83
336,Mississippi Val. (Southwestern),32,7-25,2665,83.3
337,Quinnipiac (Metro Atlantic),31,10-21,2583,83.3
337,UTRGV (Western Athletic),31,10-21,2583,83.3
339,Omaha (Summit League),32,18-14,2673,83.5
340,Austin Peay (OVC),30,11-19,2515,83.8
341,Central Ark. (Southland),32,8-24,2692,84.1
342,Detroit Mercy (Horizon),31,8-23,2630,84.8
343,Marshall (Conference USA),32,18-14,2716,84.9
344,Southern Utah (Big Sky),32,6-26,2724,85.1
345,Central Mich. (Mid-American),32,16-16,2807,87.7
346,Savannah St. (Mid-Eastern),29,13-16,2665,91.9
347,The Citadel (Southern),33,12-21,3121,94.6
Reclassifying,,,,,
-,Grand Canyon (Western Athletic),31,22-9,"2,103",67.8
-,Abilene Christian (Southland),29,13-16,"2,073",71.5
-,Incarnate Word (Southland),29,12-17,"2,320",80.0
-,UMass Lowell (America East),31,11-20,"2,517",81.2
