Rank,Team,GM,W-L,FT,FTA,FT%
260,Northern Ill. (Mid-American),32,15-17,493,728,67.7
261,SIUE (OVC),30,6-24,528,780,67.7
262,Duquesne (Atlantic 10),32,10-22,460,680,67.6
263,Northern Ky. (Horizon),34,24-10,493,729,67.6
264,Pacific (West Coast),33,11-22,453,671,67.5
265,Norfolk St. (Mid-Eastern),31,16-15,455,674,67.5
266,Cal St. Fullerton (Big West),29,16-13,467,692,67.5
267,Mt. St. Mary's (Northeast),34,19-15,415,615,67.5
268,UT Arlington (Sun Belt),31,24-7,444,658,67.5
269,Jackson St. (Southwestern),32,14-18,417,619,67.4
270,Auburn (Southeastern),32,18-14,562,836,67.2
271,Bradley (Missouri Valley),33,13-20,484,720,67.2
272,Youngstown St. (Horizon),34,13-21,404,601,67.2
273,Rider (Metro Atlantic),33,18-15,505,752,67.2
274,Western Ky. (Conference USA),32,15-17,441,657,67.1
275,Fresno St. (Mountain West),30,19-11,476,710,67
276,Lamar University (Southland),32,19-13,516,770,67
277,La.-Monroe (Sun Belt),32,9-23,329,491,67
278,Cincinnati (AAC),31,27-4,384,574,66.9
279,Drexel (Colonial),32,9-23,411,616,66.7
280,Bowling Green (Mid-American),32,13-19,471,706,66.7
281,Massachusetts (Atlantic 10),32,15-17,435,653,66.6
282,Alabama A&M (Southwestern),29,2-27,409,614,66.6
283,Radford (Big South),32,14-18,353,530,66.6
284,Charleston So. (Big South),31,12-19,428,643,66.6
285,Ga. Southern (Sun Belt),31,18-13,487,732,66.5
286,Detroit Mercy (Horizon),31,8-23,476,717,66.4
287,Saint Louis (Atlantic 10),32,12-20,391,589,66.4
288,UTSA (Conference USA),32,14-18,448,675,66.4
289,Michigan St. (Big Ten),31,18-13,382,576,66.3
290,Grambling (Southwestern),32,16-16,480,724,66.3
291,UC Davis (Big West),31,19-12,478,721,66.3
292,Bethune-Cookman (Mid-Eastern),32,10-22,367,554,66.2
293,Illinois St. (Missouri Valley),33,27-6,378,572,66.1
294,Oregon St. (Pac-12),32,5-27,376,569,66.1
295,Howard (Mid-Eastern),33,10-23,561,849,66.1
296,Kansas (Big 12),31,28-3,454,688,66
297,Milwaukee (Horizon),35,11-24,355,538,66
298,Florida A&M (Mid-Eastern),30,7-23,442,671,65.9
299,Delaware St. (Mid-Eastern),32,10-22,359,545,65.9
300,Stetson (ASUN),32,11-21,438,665,65.9
301,UTEP (Conference USA),30,14-16,376,571,65.8
302,Portland St. (Big Sky),30,15-15,476,723,65.8
303,California (Pac-12),31,20-11,418,635,65.8
304,UCF (AAC),30,20-10,427,649,65.8
305,Texas (Big 12),32,11-21,406,618,65.7
306,Alcorn (Southwestern),30,17-13,371,565,65.7
307,Rhode Island (Atlantic 10),30,21-9,447,681,65.6
308,Coastal Caro. (Sun Belt),32,16-16,382,582,65.6
309,South Fla. (AAC),29,7-22,328,500,65.6
310,Sacramento St. (Big Sky),30,13-17,407,621,65.5
311,Penn (Ivy League),27,13-14,270,412,65.5
312,South Ala. (Sun Belt),32,14-18,475,725,65.5
313,North Florida (ASUN),34,15-19,490,748,65.5
314,Army West Point (Patriot),32,13-19,349,533,65.5
315,Maine (America East),32,7-25,365,558,65.4
316,USC Upstate (ASUN),32,17-15,410,627,65.4
317,Western Caro. (Southern),32,9-23,345,528,65.3
318,East Carolina (AAC),31,14-17,416,637,65.3
319,Ark.-Pine Bluff (Southwestern),32,7-25,379,581,65.2
320,Washington (Pac-12),30,9-21,385,591,65.1
321,Mississippi Val. (Southwestern),32,7-25,423,651,65
322,Saint Joseph's (Atlantic 10),31,11-20,471,725,65
323,St. Francis Brooklyn (Northeast),31,4-27,400,616,64.9
324,Savannah St. (Mid-Eastern),29,13-16,427,659,64.8
325,Robert Morris (Northeast),33,14-19,486,751,64.7
326,Georgia St. (Sun Belt),30,19-11,374,578,64.7
327,North Texas (Conference USA),30,8-22,409,633,64.6
328,Texas A&M (Southeastern),30,16-14,374,579,64.6
329,Texas St. (Sun Belt),30,18-12,372,576,64.6
330,Coppin St. (Mid-Eastern),33,8-25,512,793,64.6
331,Alabama (Southeastern),30,17-13,433,672,64.4
332,Old Dominion (Conference USA),30,19-11,384,596,64.4
333,Wisconsin (Big Ten),31,23-8,385,598,64.4
334,Navy (Patriot),32,16-16,400,624,64.1
335,Pepperdine (West Coast),31,9-22,348,543,64.1
336,Arkansas St. (Sun Belt),32,20-12,474,743,63.8
337,Alabama St. (Southwestern),31,8-23,404,634,63.7
338,Seton Hall (Big East),30,20-10,432,680,63.5
339,UC Santa Barbara (Big West),28,6-22,303,478,63.4
340,San Francisco (West Coast),32,20-12,314,500,62.8
341,CSU Bakersfield (Western Athletic),29,21-8,374,596,62.8
342,Gardner-Webb (Big South),33,19-14,511,819,62.4
343,Rutgers (Big Ten),32,15-17,385,619,62.2
344,Central Conn. St. (Northeast),29,6-23,331,534,62
345,Loyola Marymount (West Coast),30,15-15,338,546,61.9
346,American (Patriot),30,8-22,293,474,61.8
347,Northern Colo. (Big Sky),29,11-18,357,591,60.4
