Rank,Team,GM,W-L,PTS,PPG
223,South Ala. (Sun Belt),32,14-18,2284,71.4
224,CSU Bakersfield (Western Athletic),29,21-8,2066,71.2
225,Drake (Missouri Valley),31,7-24,2208,71.2
226,LIU Brooklyn (Northeast),32,20-12,2278,71.2
227,Texas A&M (Southeastern),30,16-14,2135,71.2
228,New Hampshire (America East),32,20-12,2277,71.2
229,Sacramento St. (Big Sky),30,13-17,2134,71.1
229,Tennessee St. (OVC),30,17-13,2134,71.1
231,Campbell (Big South),34,17-17,2418,71.1
232,Bethune-Cookman (Mid-Eastern),32,10-22,2275,71.1
233,Temple (AAC),31,16-15,2200,71
234,Southeastern La. (Southland),32,16-16,2268,70.9
235,Eastern Ky. (OVC),31,12-19,2197,70.9
236,Mercer (Southern),32,15-17,2267,70.8
237,Providence (Big East),31,20-11,2190,70.6
238,Tulane (AAC),30,6-24,2119,70.6
239,Manhattan (Metro Atlantic),32,10-22,2259,70.6
240,UC Irvine (Big West),32,19-13,2258,70.6
241,Duquesne (Atlantic 10),32,10-22,2256,70.5
242,McNeese (Southland),29,7-22,2043,70.4
243,Loyola Marymount (West Coast),30,15-15,2113,70.4
244,Norfolk St. (Mid-Eastern),31,16-15,2183,70.4
244,George Washington (Atlantic 10),31,18-13,2183,70.4
246,Washington St. (Pac-12),31,13-18,2179,70.3
247,Miami (OH) (Mid-American),32,11-21,2249,70.3
248,Seattle U (Western Athletic),29,13-16,2038,70.3
249,Fla. Atlantic (Conference USA),30,10-20,2108,70.3
250,FIU (Conference USA),31,7-24,2178,70.3
251,Indiana St. (Missouri Valley),31,11-20,2170,70
252,Nebraska (Big Ten),31,12-19,2168,69.9
253,Miami (FL) (Atlantic Coast),31,21-10,2167,69.9
253,South Carolina St. (Mid-Eastern),31,11-20,2167,69.9
255,SFA (Southland),30,17-13,2095,69.8
256,Idaho St. (Big Sky),31,5-26,2164,69.8
257,Mississippi Val. (Southwestern),32,7-25,2233,69.8
258,Stanford (Pac-12),31,14-17,2162,69.7
259,Jacksonville St. (OVC),34,20-14,2371,69.7
260,Alcorn (Southwestern),30,17-13,2090,69.7
261,Hampton (Mid-Eastern),29,14-15,2016,69.5
262,Saint Joseph's (Atlantic 10),31,11-20,2155,69.5
263,Marist (Metro Atlantic),32,8-24,2223,69.5
264,Evansville (Missouri Valley),33,16-17,2288,69.3
265,Northern Ariz. (Big Sky),32,9-23,2218,69.3
266,UTEP (Conference USA),30,14-16,2075,69.2
266,North Texas (Conference USA),30,8-22,2075,69.2
268,Stony Brook (America East),31,18-13,2144,69.2
269,Penn (Ivy League),27,13-14,1864,69
270,Pepperdine (West Coast),31,9-22,2140,69
271,Western Ky. (Conference USA),32,15-17,2209,69
272,Missouri (Southeastern),31,8-23,2139,69
273,Prairie View (Southwestern),33,13-20,2276,69
274,DePaul (Big East),32,9-23,2206,68.9
275,Col. of Charleston (Colonial),34,25-9,2342,68.9
276,Illinois St. (Missouri Valley),33,27-6,2271,68.8
277,UNLV (Mountain West),32,11-21,2202,68.8
278,High Point (Big South),31,15-16,2133,68.8
279,VMI (Southern),30,6-24,2057,68.6
280,Southern Ill. (Missouri Valley),33,17-16,2260,68.5
281,Alabama (Southeastern),30,17-13,2053,68.4
282,Little Rock (Sun Belt),32,15-17,2188,68.4
283,Mt. St. Mary's (Northeast),34,19-15,2323,68.3
284,Delaware St. (Mid-Eastern),32,10-22,2186,68.3
285,Hawaii (Big West),29,14-15,1980,68.3
286,Wagner (Northeast),30,16-14,2047,68.2
287,SIUE (OVC),30,6-24,2044,68.1
288,San Diego St. (Mountain West),31,18-13,2110,68.1
289,Binghamton (America East),32,12-20,2175,68
290,California (Pac-12),31,20-11,2107,68
291,Tulsa (AAC),30,14-16,2031,67.7
292,Texas St. (Sun Belt),30,18-12,2030,67.7
293,Morgan St. (Mid-Eastern),29,14-15,1960,67.6
294,Cal Poly (Big West),30,11-19,2027,67.6
295,Texas (Big 12),32,11-21,2162,67.6
296,Longwood (Big South),30,6-24,2018,67.3
297,Cleveland St. (Horizon),31,9-22,2083,67.2
298,Portland (West Coast),33,11-22,2215,67.1
299,Dartmouth (Ivy League),27,7-20,1812,67.1
300,La.-Monroe (Sun Belt),32,9-23,2147,67.1
301,Milwaukee (Horizon),35,11-24,2347,67.1
302,Colgate (Patriot),32,10-22,2145,67
303,Georgia Tech (Atlantic Coast),32,17-15,2144,67
304,UCF (AAC),30,20-10,2008,66.9
305,Virginia (Atlantic Coast),31,22-9,2073,66.9
306,Pacific (West Coast),33,11-22,2206,66.8
307,Santa Clara (West Coast),33,17-16,2204,66.8
308,Hartford (America East),32,9-23,2136,66.8
309,UConn (AAC),30,14-16,1998,66.6
310,Saint Peter's (Metro Atlantic),32,19-13,2129,66.5
311,Lafayette (Patriot),30,9-21,1995,66.5
312,James Madison (Colonial),33,10-23,2194,66.5
313,Coppin St. (Mid-Eastern),33,8-25,2192,66.4
314,Liberty (Big South),32,19-13,2124,66.4
315,UTSA (Conference USA),32,14-18,2108,65.9
316,Alabama St. (Southwestern),31,8-23,2042,65.9
317,Loyola Maryland (Patriot),31,15-16,2039,65.8
318,Rutgers (Big Ten),32,15-17,2102,65.7
319,Chicago St. (Western Athletic),31,6-25,2036,65.7
320,Bradley (Missouri Valley),33,13-20,2163,65.5
321,Delaware (Colonial),33,13-20,2157,65.4
322,San Diego (West Coast),31,13-18,2025,65.3
323,Radford (Big South),32,14-18,2090,65.3
324,Fordham (Atlantic 10),31,13-18,2019,65.1
325,Navy (Patriot),32,16-16,2076,64.9
326,South Fla. (AAC),29,7-22,1879,64.8
327,UC Riverside (Big West),27,7-20,1747,64.7
328,Maine (America East),32,7-25,2069,64.7
329,Jackson St. (Southwestern),32,14-18,2067,64.6
330,Old Dominion (Conference USA),30,19-11,1935,64.5
331,Robert Morris (Northeast),33,14-19,2125,64.4
332,Howard (Mid-Eastern),33,10-23,2123,64.3
333,N.C. A&T (Mid-Eastern),32,3-29,2058,64.3
334,Oregon St. (Pac-12),32,5-27,2021,63.2
335,Central Conn. St. (Northeast),29,6-23,1827,63
336,Southern Miss. (Conference USA),31,9-22,1952,63
337,East Carolina (AAC),31,14-17,1931,62.3
338,St. Francis Brooklyn (Northeast),31,4-27,1921,62
339,Saint Louis (Atlantic 10),32,12-20,1980,61.9
340,UNI (Missouri Valley),30,14-16,1854,61.8
341,Ark.-Pine Bluff (Southwestern),32,7-25,1977,61.8
342,Alabama A&M (Southwestern),29,2-27,1790,61.7
343,American (Patriot),30,8-22,1845,61.5
344,Western Caro. (Southern),32,9-23,1965,61.4
345,Presbyterian (Big South),30,5-25,1836,61.2
346,UC Santa Barbara (Big West),28,6-22,1701,60.8
347,Holy Cross (Patriot),32,15-17,1932,60.4
Reclassifying,,,,,
-,UMass Lowell (America East),31,11-20,"2,429",78.4
-,Incarnate Word (Southland),29,12-17,"2,212",76.3
-,Grand Canyon (Western Athletic),31,22-9,"2,282",73.6
-,Abilene Christian (Southland),29,13-16,"2,009",69.3
