Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
193,Omaha (Summit League),32,18-14,2685,83.9,2673,83.5,0.4
193,Massachusetts (Atlantic 10),32,15-17,2311,72.2,2299,71.8,0.4
195,Stony Brook (America East),31,18-13,2144,69.2,2133,68.8,0.4
196,George Washington (Atlantic 10),31,18-13,2183,70.4,2173,70.1,0.3
197,Siena (Metro Atlantic),34,17-17,2549,75,2541,74.7,0.2
198,Georgia Tech (Atlantic Coast),32,17-15,2144,67,2137,66.8,0.2
199,South Dakota St. (Summit League),34,18-16,2637,77.6,2631,77.4,0.2
200,Hawaii (Big West),29,14-15,1980,68.3,1975,68.1,0.2
201,Northeastern (Colonial),31,15-16,2234,72.1,2230,71.9,0.1
202,Temple (AAC),31,16-15,2200,71,2197,70.9,0.1
203,Little Rock (Sun Belt),32,15-17,2188,68.4,2185,68.3,0.1
204,Coastal Caro. (Sun Belt),32,16-16,2331,72.8,2331,72.8,0
205,Rider (Metro Atlantic),33,18-15,2498,75.7,2500,75.8,-0.1
206,High Point (Big South),31,15-16,2133,68.8,2136,68.9,-0.1
207,Southeast Mo. St. (OVC),33,15-18,2460,74.5,2464,74.7,-0.1
208,Ill.-Chicago (Horizon),33,15-18,2520,76.4,2525,76.5,-0.2
209,Penn St. (Big Ten),32,15-17,2316,72.4,2322,72.6,-0.2
210,Mt. St. Mary's (Northeast),34,19-15,2323,68.3,2332,68.6,-0.3
211,Loyola Marymount (West Coast),30,15-15,2113,70.4,2125,70.8,-0.4
212,Army West Point (Patriot),32,13-19,2324,72.6,2340,73.1,-0.5
213,IUPUI (Summit League),32,14-18,2500,78.1,2517,78.7,-0.5
213,Southern U. (Southwestern),32,15-17,2301,71.9,2318,72.4,-0.5
215,Tennessee Tech (OVC),32,12-20,2317,72.4,2338,73.1,-0.7
216,St. John's (NY) (Big East),32,14-18,2467,77.1,2490,77.8,-0.7
217,La Salle (Atlantic 10),29,15-14,2193,75.6,2215,76.4,-0.8
218,Fairfield (Metro Atlantic),30,16-14,2168,72.3,2191,73,-0.8
219,San Jose St. (Mountain West),29,14-15,2131,73.5,2155,74.3,-0.8
220,Southern Ill. (Missouri Valley),33,17-16,2260,68.5,2289,69.4,-0.9
221,Columbia (Ivy League),27,11-16,1940,71.9,1964,72.7,-0.9
222,Rutgers (Big Ten),32,15-17,2102,65.7,2132,66.6,-0.9
223,North Florida (ASUN),34,15-19,2637,77.6,2674,78.6,-1.1
